hash,variables,clauses,gbd_variables,gbd_clauses,family,author,result,filename,tracks,local_path
cbeca117cfb441b828e931758b854d3c,12,20,12,20,battleship,skvortsov,sat,cbeca117cfb441b828e931758b854d3c,"crafted_2012,portfolio_2012",instances/cbeca117cfb441b828e931758b854d3c.cnf
2b738a1991a7318cad993a809b10cc2c,12,32,12,32,tseitin-formulas,bevan,unsat,2b738a1991a7318cad993a809b10cc2c,"anni_2022,handmade_2003",instances/2b738a1991a7318cad993a809b10cc2c.cnf
a53f5bdf5c68f006c146f172fdd5a49d,12,32,12,32,tseitin-formulas,bevan,unsat,a53f5bdf5c68f006c146f172fdd5a49d,handmade_2003,instances/a53f5bdf5c68f006c146f172fdd5a49d.cnf
23a92c04ee9248308a18d6a44e5d15f0,15,24,15,24,battleship,skvortsov,sat,23a92c04ee9248308a18d6a44e5d15f0,"anni_2022,crafted_2012",instances/23a92c04ee9248308a18d6a44e5d15f0.cnf
6ff98b815c0ff57d92086702e7dd2829,15,64,15,64,tseitin-formulas,bevan,unsat,6ff98b815c0ff57d92086702e7dd2829,"anni_2022,handmade_2003",instances/6ff98b815c0ff57d92086702e7dd2829.cnf
1cf67760092ebabc1bb42706fb8d43dc,18,95,18,95,tseitin-formulas,bevan,sat,1cf67760092ebabc1bb42706fb8d43dc,handmade_2003,instances/1cf67760092ebabc1bb42706fb8d43dc.cnf
4efecd99c585a00761bc52113f4ac456,20,783,20,783,random,pehoushek,sat,4efecd99c585a00761bc52113f4ac456,random_2002,instances/4efecd99c585a00761bc52113f4ac456.cnf
a277def937f2d67b91d8be7ea410a1a3,20,785,20,785,random,pehoushek,sat,a277def937f2d67b91d8be7ea410a1a3,random_2002,instances/a277def937f2d67b91d8be7ea410a1a3.cnf
a9919a354663b96040f9b806a812d0d1,20,795,20,795,random,pehoushek,unsat,a9919a354663b96040f9b806a812d0d1,random_2002,instances/a9919a354663b96040f9b806a812d0d1.cnf
866f6730afd797a244fea4f28ac3a218,20,797,20,797,random,pehoushek,sat,866f6730afd797a244fea4f28ac3a218,random_2002,instances/866f6730afd797a244fea4f28ac3a218.cnf
7b7d94844b730bd2015a6328464bc706,20,803,20,803,random,pehoushek,unsat,7b7d94844b730bd2015a6328464bc706,random_2002,instances/7b7d94844b730bd2015a6328464bc706.cnf
8345bdb88fa777b2940145d3306bbf7e,20,806,20,806,random,pehoushek,sat,8345bdb88fa777b2940145d3306bbf7e,random_2002,instances/8345bdb88fa777b2940145d3306bbf7e.cnf
3eaa112593cb66052d579c16f3d5a37e,20,822,20,822,random,pehoushek,sat,3eaa112593cb66052d579c16f3d5a37e,random_2002,instances/3eaa112593cb66052d579c16f3d5a37e.cnf
4b7ca3eb0be96a25f119e8238d5da1f6,20,830,20,830,random,pehoushek,sat,4b7ca3eb0be96a25f119e8238d5da1f6,random_2002,instances/4b7ca3eb0be96a25f119e8238d5da1f6.cnf
2367a7e13ff5d039978a26c3081a4342,20,832,20,832,random,pehoushek,sat,2367a7e13ff5d039978a26c3081a4342,random_2002,instances/2367a7e13ff5d039978a26c3081a4342.cnf
92dca1683b78f5de8e7591f94e9aa948,20,833,20,833,random,pehoushek,sat,92dca1683b78f5de8e7591f94e9aa948,random_2002,instances/92dca1683b78f5de8e7591f94e9aa948.cnf
f2a0158e6029a7535611c6a8113daada,21,72,21,72,tseitin-formulas,bevan,unsat,f2a0158e6029a7535611c6a8113daada,handmade_2003,instances/f2a0158e6029a7535611c6a8113daada.cnf
787fd7b0f4d779fdabfbbd3dd29f8db4,24,52,24,52,battleship,skvortsov,unsat,787fd7b0f4d779fdabfbbd3dd29f8db4,"anni_2022,crafted_2012,portfolio_2012",instances/787fd7b0f4d779fdabfbbd3dd29f8db4.cnf
f42d2ce7b4efd3f96e063dd1f6fec7f1,24,61,24,61,linvrinv,biere,unsat,f42d2ce7b4efd3f96e063dd1f6fec7f1,"anni_2022,crafted_2005",instances/f42d2ce7b4efd3f96e063dd1f6fec7f1.cnf
