timestamp_utc,monotonic_s,boost_enabled,load1,load5,load15,cpu_tctl_millic,max_temp_millic,above_scaling_max_count,max_observed_khz,cpu0_khz,cpu1_khz,cpu2_khz,cpu3_khz,cpu4_khz,cpu5_khz,cpu6_khz,cpu7_khz,cpu8_khz,cpu9_khz,cpu10_khz,cpu11_khz
2026-07-18T20:31:43.307634+00:00,2748487.247345,1,2.234863,2.262207,2.492676,85375,85375,10,4890864,2171197,4890853,4890864,4890826,4890820,4885618,2169324,4887009,4887369,4889200,4887575,4890842
2026-07-18T20:31:44.309643+00:00,2748488.249357,1,2.234863,2.262207,2.492676,86500,86500,7,4866816,1938769,4846019,4846029,4846016,4846019,1600000,1600000,1600000,4866816,4846058,4846010,1938079
2026-07-18T20:31:45.308099+00:00,2748489.247816,1,2.234863,2.262207,2.492676,87500,87500,8,4840974,1935311,4840970,4840966,4840970,4840974,1934441,1934110,4840666,4838964,4836574,4838203,1934103
2026-07-18T20:31:46.310692+00:00,2748490.250405,1,2.234863,2.262207,2.492676,87750,87750,7,4841883,1935763,4840909,4840902,4840906,4840919,1600000,1600000,4841883,4838122,4838763,1600000,1600000
2026-07-18T20:31:47.307877+00:00,2748491.247589,1,2.234863,2.262207,2.492676,88000,88000,6,4843588,1600000,4840960,4840951,4840950,4840961,2151139,1600000,4839395,1600000,4843588,1600000,2150081
2026-07-18T20:31:48.308111+00:00,2748492.247823,1,2.376465,2.291504,2.500977,88000,88000,6,4840960,1934349,4840955,4840956,4840960,4840947,1958344,1600000,1600000,4837889,4840133,1600000,1936096
2026-07-18T20:31:49.307942+00:00,2748493.247655,1,2.376465,2.291504,2.500977,88000,88000,6,4869900,1945900,4848367,4848410,4848477,4848429,1600000,1600000,1600000,4863342,4869900,1600000,1977965
2026-07-18T20:31:50.308569+00:00,2748494.248282,1,2.376465,2.291504,2.500977,88375,88375,8,4840998,1936346,4840995,4840995,4840998,4840996,1936068,1600000,4840362,4837763,4836548,4827355,1600000
2026-07-18T20:31:51.308197+00:00,2748495.247910,1,2.376465,2.291504,2.500977,88625,88625,8,4844588,1988996,4841014,4841009,4841016,4841014,1600000,1600000,4844588,4839543,4839356,4841637,1986904
2026-07-18T20:31:52.307882+00:00,2748496.247595,1,2.376465,2.291504,2.500977,88875,88875,8,4816057,1924886,4816050,4816039,4816057,4816049,2136449,1926471,4815680,4813600,4815732,4815910,2139899
