timestamp_utc,monotonic_s,boost_enabled,load1,load5,load15,cpu_tctl_millic,max_temp_millic,above_scaling_max_count,max_observed_khz,cpu0_khz,cpu1_khz,cpu2_khz,cpu3_khz,cpu4_khz,cpu5_khz,cpu6_khz,cpu7_khz,cpu8_khz,cpu9_khz,cpu10_khz,cpu11_khz
2026-07-19T10:28:51.307440+00:00,2798715.247151,1,0.409668,0.606934,0.579590,42500,47850,12,5039949,5035618,5039741,5039786,5039784,5039816,5039949,5039922,5039680,5037903,5037810,5036023,5039895
2026-07-19T10:28:52.302095+00:00,2798716.241808,1,0.409668,0.606934,0.579590,59125,59125,3,5005020,1994605,1996205,1996113,4990719,4990725,1600000,1600000,1994370,1994501,5005020,1600000,1995136
2026-07-19T10:28:53.302881+00:00,2798717.242593,1,0.409668,0.606934,0.579590,68750,68750,6,4971164,1986236,4965743,4965724,4965741,4965747,1600000,1985531,1600000,1600000,4966203,4971164,1985585
2026-07-19T10:28:54.302472+00:00,2798718.242184,1,0.777344,0.680176,0.603516,71625,71625,7,4965235,1985885,4948001,4947969,4947981,4948032,1986203,1983918,4959555,4965235,4954730,1600000,1985561
2026-07-19T10:28:55.302304+00:00,2798719.242016,1,0.777344,0.680176,0.603516,72875,72875,8,4967809,1987108,4967808,4967803,4967809,4967804,1600000,1931502,4963626,4967543,4966200,4965555,1986217
2026-07-19T10:28:56.302347+00:00,2798720.242061,1,0.777344,0.680176,0.603516,73500,73500,8,4965737,1978507,4965725,4965717,4965720,4965737,3760370,1983598,4959535,4942741,4943785,4942766,1985490
2026-07-19T10:28:57.302511+00:00,2798721.242219,1,0.777344,0.680176,0.603516,74250,74250,9,4940811,2840210,4940769,4940758,4940749,4940750,4940710,3240291,4939531,4940811,4930883,1600000,4935946
2026-07-19T10:28:58.302482+00:00,2798722.242194,1,0.777344,0.680176,0.603516,74750,74750,8,4969226,1985021,4965721,4965719,4965722,4965725,2070298,1600000,4935433,4963290,4969226,4955650,1985586
2026-07-19T10:28:59.305417+00:00,2798723.245131,1,1.035645,0.735352,0.622070,74875,74875,7,4958056,2658188,4937479,4937480,4937497,4937493,2237477,1600000,4941087,4944171,4958056,4350000,4350000
2026-07-19T10:29:00.302555+00:00,2798724.242268,1,1.035645,0.735352,0.622070,75125,75125,8,4962258,2119997,4941423,4941357,4941439,4941429,1600000,1600000,4962258,4958319,4962190,4940363,1978932
2026-07-19T10:29:01.302286+00:00,2798725.241999,1,1.035645,0.735352,0.622070,75125,75125,7,4969738,2836711,4965761,4965755,4965758,4965722,1983773,1986194,4964940,4969738,4965523,1600000,1600000
2026-07-19T10:29:02.302311+00:00,2798726.242024,1,1.035645,0.735352,0.622070,75500,75500,8,4967411,2028554,4959756,4959744,4959749,4959757,1997780,1985120,4967411,4939008,4940696,4940788,2006850
2026-07-19T10:29:03.302659+00:00,2798727.242374,1,1.035645,0.735352,0.622070,76000,76000,8,4989094,1990559,4966559,4966551,4966368,4966565,1994998,1991790,4989094,4969011,4986754,4987505,1994589
2026-07-19T10:29:04.302259+00:00,2798728.241971,1,1.273438,0.789551,0.640625,76125,76125,8,4950920,1985808,4941984,4941998,4942006,4941986,2149335,1972842,4943230,4950920,4941144,4940440,2145860
2026-07-19T10:29:05.302241+00:00,2798729.241954,1,1.273438,0.789551,0.640625,76375,76375,9,4941795,2192015,4941741,4941795,4941749,4941750,2790540,2093089,4939245,4937442,4940317,4937494,4737965
2026-07-19T10:29:06.302675+00:00,2798730.242386,1,1.273438,0.789551,0.640625,76750,76750,7,4953127,1979812,4940782,4940777,4940783,4940789,2194390,1975658,4939762,4950375,4953127,2200000,1982009
2026-07-19T10:29:07.302266+00:00,2798731.241977,1,1.273438,0.789551,0.640625,77125,77125,7,4944098,1976053,4941737,4941723,4941790,4941728,1600000,1985315,4944098,4939845,1600000,4942753,2194430
