2026-07-19T10:28:51+00:00 START npfs8-control cpu=1 attempt=1
npfs8 100/100000 best=0.141855s eval=60 elapsed=2.9s
npfs8 200/100000 best=0.282155s eval=162 elapsed=7.4s
npfs8 300/100000 best=0.282155s eval=162 elapsed=10.7s
npfs8 400/100000 best=0.282155s eval=162 elapsed=15.3s
npfs8 500/100000 best=0.282155s eval=162 elapsed=19.4s
npfs8 600/100000 best=0.282155s eval=162 elapsed=23.2s
npfs8 700/100000 best=0.293422s eval=686 elapsed=27.6s
npfs8 800/100000 best=0.293422s eval=686 elapsed=32.2s
npfs8 900/100000 best=0.293422s eval=686 elapsed=36.3s
npfs8 1000/100000 best=0.293422s eval=686 elapsed=40.3s
npfs8 1100/100000 best=0.325675s eval=1000 elapsed=44.4s
npfs8 1200/100000 best=0.325675s eval=1000 elapsed=48.3s
npfs8 1300/100000 best=0.325675s eval=1000 elapsed=51.9s
npfs8 1400/100000 best=0.325675s eval=1000 elapsed=55.8s
npfs8 1500/100000 best=0.325675s eval=1000 elapsed=59.5s
npfs8 1600/100000 best=0.325675s eval=1000 elapsed=63.3s
npfs8 1700/100000 best=0.325675s eval=1000 elapsed=67.4s
npfs8 1800/100000 best=0.325675s eval=1000 elapsed=71.3s
npfs8 1900/100000 best=0.325675s eval=1000 elapsed=75.5s
npfs8 2000/100000 best=0.325675s eval=1000 elapsed=79.2s
npfs8 2100/100000 best=0.325675s eval=1000 elapsed=83.4s
npfs8 2200/100000 best=0.371607s eval=2188 elapsed=87.8s
npfs8 2300/100000 best=0.371607s eval=2188 elapsed=91.0s
npfs8 2400/100000 best=0.371607s eval=2188 elapsed=95.1s
npfs8 2500/100000 best=0.371607s eval=2188 elapsed=99.4s
npfs8 2600/100000 best=0.371607s eval=2188 elapsed=103.0s
npfs8 2700/100000 best=0.371607s eval=2188 elapsed=106.9s
npfs8 2800/100000 best=0.371607s eval=2188 elapsed=112.0s
npfs8 2900/100000 best=0.371607s eval=2188 elapsed=115.8s
npfs8 3000/100000 best=0.371607s eval=2188 elapsed=119.8s
npfs8 3100/100000 best=0.371607s eval=2188 elapsed=123.6s
npfs8 3200/100000 best=0.371607s eval=2188 elapsed=127.9s
npfs8 3300/100000 best=0.371607s eval=2188 elapsed=132.7s
npfs8 3400/100000 best=0.371607s eval=2188 elapsed=137.2s
npfs8 3500/100000 best=0.371607s eval=2188 elapsed=140.6s
npfs8 3600/100000 best=0.371607s eval=2188 elapsed=144.5s
npfs8 3700/100000 best=0.371607s eval=2188 elapsed=148.7s
npfs8 3800/100000 best=0.371607s eval=2188 elapsed=153.0s
npfs8 3900/100000 best=0.371607s eval=2188 elapsed=157.9s
npfs8 4000/100000 best=0.371607s eval=2188 elapsed=162.0s
npfs8 4100/100000 best=0.371607s eval=2188 elapsed=166.1s
npfs8 4200/100000 best=0.371607s eval=2188 elapsed=169.9s
npfs8 4300/100000 best=0.371607s eval=2188 elapsed=174.0s
npfs8 4400/100000 best=0.371607s eval=2188 elapsed=178.2s
npfs8 4500/100000 best=0.371607s eval=2188 elapsed=182.0s
npfs8 4600/100000 best=0.371607s eval=2188 elapsed=185.7s
npfs8 4700/100000 best=0.371607s eval=2188 elapsed=190.2s
npfs8 4800/100000 best=0.371607s eval=2188 elapsed=194.8s
npfs8 4900/100000 best=0.371607s eval=2188 elapsed=198.7s
npfs8 5000/100000 best=0.371607s eval=2188 elapsed=203.1s
npfs8 5100/100000 best=0.371607s eval=2188 elapsed=207.5s
npfs8 5200/100000 best=0.371607s eval=2188 elapsed=212.1s
npfs8 5300/100000 best=0.371607s eval=2188 elapsed=216.5s
npfs8 5400/100000 best=0.371607s eval=2188 elapsed=221.1s
npfs8 5500/100000 best=0.371607s eval=2188 elapsed=224.6s
npfs8 5600/100000 best=0.371607s eval=2188 elapsed=228.5s
npfs8 5700/100000 best=0.371607s eval=2188 elapsed=232.7s
npfs8 5800/100000 best=0.371607s eval=2188 elapsed=236.1s
npfs8 5900/100000 best=0.371607s eval=2188 elapsed=240.0s
npfs8 6000/100000 best=0.371607s eval=2188 elapsed=244.4s
npfs8 6100/100000 best=0.371607s eval=2188 elapsed=248.5s
npfs8 6200/100000 best=0.371607s eval=2188 elapsed=252.8s
npfs8 6300/100000 best=0.371607s eval=2188 elapsed=256.7s
