tsp-rs shard=7 evaluated=50 next=400/100000 best=0.023608s eval=287 elapsed=4.0s
tsp-rs shard=7 evaluated=100 next=800/100000 best=0.320946s eval=671 elapsed=14.3s
tsp-rs shard=7 evaluated=150 next=1200/100000 best=0.320946s eval=671 elapsed=18.7s
tsp-rs shard=7 evaluated=200 next=1600/100000 best=0.320946s eval=671 elapsed=25.8s
tsp-rs shard=7 evaluated=250 next=2000/100000 best=0.320946s eval=671 elapsed=35.1s
tsp-rs shard=7 evaluated=300 next=2400/100000 best=0.320946s eval=671 elapsed=39.0s
tsp-rs shard=7 evaluated=350 next=2800/100000 best=0.320946s eval=671 elapsed=42.2s
tsp-rs shard=7 evaluated=400 next=3200/100000 best=0.320946s eval=671 elapsed=45.6s
tsp-rs shard=7 evaluated=450 next=3600/100000 best=0.320946s eval=671 elapsed=49.1s
tsp-rs shard=7 evaluated=500 next=4000/100000 best=0.320946s eval=671 elapsed=53.3s
tsp-rs shard=7 evaluated=550 next=4400/100000 best=0.320946s eval=671 elapsed=57.8s
tsp-rs shard=7 evaluated=600 next=4800/100000 best=0.320946s eval=671 elapsed=68.9s
tsp-rs shard=7 evaluated=650 next=5200/100000 best=0.320946s eval=671 elapsed=74.8s
tsp-rs shard=7 evaluated=700 next=5600/100000 best=0.320946s eval=671 elapsed=81.2s
tsp-rs shard=7 evaluated=750 next=6000/100000 best=0.320946s eval=671 elapsed=87.0s
tsp-rs shard=7 evaluated=800 next=6400/100000 best=0.320946s eval=671 elapsed=91.6s
tsp-rs shard=7 evaluated=850 next=6800/100000 best=0.320946s eval=671 elapsed=98.9s
tsp-rs shard=7 evaluated=900 next=7200/100000 best=0.320946s eval=671 elapsed=102.8s
tsp-rs shard=7 evaluated=950 next=7600/100000 best=0.320946s eval=671 elapsed=108.6s
tsp-rs shard=7 evaluated=1000 next=8000/100000 best=0.320946s eval=671 elapsed=112.4s
tsp-rs shard=7 evaluated=1050 next=8400/100000 best=0.320946s eval=671 elapsed=121.3s
tsp-rs shard=7 evaluated=1100 next=8800/100000 best=0.320946s eval=671 elapsed=126.2s
tsp-rs shard=7 evaluated=1150 next=9200/100000 best=0.320946s eval=671 elapsed=134.3s
tsp-rs shard=7 evaluated=1200 next=9600/100000 best=0.320946s eval=671 elapsed=144.1s
tsp-rs shard=7 evaluated=1250 next=10000/100000 best=0.320946s eval=671 elapsed=149.3s
tsp-rs shard=7 evaluated=1300 next=10400/100000 best=0.320946s eval=671 elapsed=152.8s
tsp-rs shard=7 evaluated=1350 next=10800/100000 best=0.320946s eval=671 elapsed=156.9s
tsp-rs shard=7 evaluated=1400 next=11200/100000 best=0.320946s eval=671 elapsed=161.4s
tsp-rs shard=7 evaluated=1450 next=11600/100000 best=0.320946s eval=671 elapsed=166.2s
tsp-rs shard=7 evaluated=1500 next=12000/100000 best=0.320946s eval=671 elapsed=170.0s
tsp-rs shard=7 evaluated=1550 next=12400/100000 best=0.320946s eval=671 elapsed=174.0s
tsp-rs shard=7 evaluated=1600 next=12800/100000 best=0.320946s eval=671 elapsed=179.5s
tsp-rs shard=7 evaluated=1650 next=13200/100000 best=0.335089s eval=12855 elapsed=194.3s
tsp-rs shard=7 evaluated=1700 next=13600/100000 best=0.335089s eval=12855 elapsed=200.8s
tsp-rs shard=7 evaluated=1750 next=14000/100000 best=0.335089s eval=12855 elapsed=204.8s
tsp-rs shard=7 evaluated=1800 next=14400/100000 best=0.335089s eval=12855 elapsed=210.0s
tsp-rs shard=7 evaluated=1850 next=14800/100000 best=0.335089s eval=12855 elapsed=217.3s
tsp-rs shard=7 evaluated=1900 next=15200/100000 best=0.335089s eval=12855 elapsed=222.9s
tsp-rs shard=7 evaluated=1950 next=15600/100000 best=0.335089s eval=12855 elapsed=227.0s
tsp-rs shard=7 evaluated=2000 next=16000/100000 best=0.335089s eval=12855 elapsed=230.1s
tsp-rs shard=7 evaluated=2050 next=16400/100000 best=0.335089s eval=12855 elapsed=235.5s
tsp-rs shard=7 evaluated=2100 next=16800/100000 best=0.335089s eval=12855 elapsed=238.8s
tsp-rs shard=7 evaluated=2150 next=17200/100000 best=0.335089s eval=12855 elapsed=246.9s
tsp-rs shard=7 evaluated=2200 next=17600/100000 best=0.335089s eval=12855 elapsed=252.2s
tsp-rs shard=7 evaluated=2250 next=18000/100000 best=0.335089s eval=12855 elapsed=257.4s
tsp-rs shard=7 evaluated=2300 next=18400/100000 best=0.335089s eval=12855 elapsed=267.6s
