timestamp_utc,monotonic_s,boost_enabled,load1,load5,load15,cpu_tctl_millic,max_temp_millic,above_scaling_max_count,max_observed_khz,cpu0_khz,cpu1_khz,cpu2_khz,cpu3_khz,cpu4_khz,cpu5_khz,cpu6_khz,cpu7_khz,cpu8_khz,cpu9_khz,cpu10_khz,cpu11_khz
2026-07-19T13:39:48.849967+00:00,2810172.789672,1,0.166016,0.709473,1.010742,44250,49850,4,5015689,2006119,2006230,2006196,2006245,5015689,5015615,2006576,2005567,2005542,2006024,5014670,5015668
2026-07-19T13:39:49.853202+00:00,2810173.792915,1,0.166016,0.709473,1.010742,60125,60000,1,5015680,2004313,2006122,2006125,2006108,5015680,2004875,2005317,2005592,2006272,1600000,1600000,2003133
2026-07-19T13:39:50.850408+00:00,2810174.790120,1,0.166016,0.709473,1.010742,65500,65500,2,5015678,1600000,3456326,2278579,3090419,5015678,2864172,2005244,2866240,4946199,3592580,1600000,2865605
2026-07-19T13:39:51.852688+00:00,2810175.792399,1,0.166016,0.709473,1.010742,67125,67125,3,5015678,2005067,2004250,2864458,2000947,5015678,1600000,2002119,1600000,2864387,2006086,5014413,4576592
2026-07-19T13:39:52.860407+00:00,2810176.800118,1,0.473145,0.764160,1.026855,66875,66875,2,5026707,2006124,2006342,2005087,2005331,5015680,2005542,1600000,2006816,2004713,2003203,5026707,2006272
2026-07-19T13:39:53.868899+00:00,2810177.808614,1,0.473145,0.764160,1.026855,66750,66750,2,5023151,2005329,2006098,2006111,2006043,5015671,1600000,2005616,2005255,2005654,1600000,5023151,2004233
2026-07-19T13:39:54.850349+00:00,2810178.790060,1,0.473145,0.764160,1.026855,70875,70875,6,4943419,1975602,4940786,4940777,4940780,4940774,1976039,1600000,1600000,1600000,4943419,4939547,1981139
2026-07-19T13:39:55.853301+00:00,2810179.793014,1,0.473145,0.764160,1.026855,74250,74250,6,4916561,1600000,4905445,4905440,4905434,4905339,1600000,1600000,4916561,4829208,1600000,1600000,1600000
2026-07-19T13:39:56.853058+00:00,2810180.792770,1,0.473145,0.764160,1.026855,75625,75625,6,4939082,1968610,4920891,4920908,4920912,4920888,1600000,1600000,1600000,4925496,4939082,1600000,1600000
2026-07-19T13:39:57.852983+00:00,2810181.792694,1,0.755859,0.818359,1.042969,76500,76500,7,4944440,1975266,4923035,4923041,4923042,4923047,1974232,1600000,1600000,4941160,4944440,4918472,1600000
2026-07-19T13:39:58.853346+00:00,2810182.793058,1,0.755859,0.818359,1.042969,76750,76750,6,4937218,1600000,4915823,4915817,4915819,4915833,1600000,1600000,1600000,4936344,1600000,4937218,1600000
2026-07-19T13:39:59.853049+00:00,2810183.792760,1,0.755859,0.818359,1.042969,77125,77125,6,4941021,1967678,4931340,4931340,4931313,4931353,1600000,1600000,1600000,4941021,1600000,4937319,1972170
2026-07-19T13:40:00.852893+00:00,2810184.792603,1,0.755859,0.818359,1.042969,78375,78375,6,4892755,2174761,4890905,4890905,4890892,4890910,2792908,2200000,1600000,4892221,4892755,1600000,2794432
2026-07-19T13:40:01.850254+00:00,2810185.789965,1,0.755859,0.818359,1.042969,78250,78250,5,4921872,1965683,4915860,4915873,4915858,4915877,1600000,1600000,1600000,1600000,1600000,4921872,1965993
2026-07-19T13:40:02.852990+00:00,2810186.792703,1,1.016113,0.871582,1.059082,78375,78375,7,4928751,1974467,4915873,4915868,4915862,4915862,1600000,1600000,4921639,4914424,4928751,1600000,1600000
2026-07-19T13:40:03.852969+00:00,2810187.792683,1,1.016113,0.871582,1.059082,78375,78375,6,4915863,1600000,4915852,4915863,4915849,4915857,1600000,1600000,1600000,4914676,4915683,1600000,1965551
2026-07-19T13:40:04.850342+00:00,2810188.790053,1,1.016113,0.871582,1.059082,78375,78375,6,4928132,2184480,4928049,4928051,4928132,4928051,1600000,2200000,1600000,4919765,4917695,1600000,1600000
2026-07-19T13:40:05.853046+00:00,2810189.792759,1,1.016113,0.871582,1.059082,78875,78875,7,4890196,2161820,4874525,4874512,4874498,4874521,2174402,2164489,4890196,4882108,1600000,4885536,2223126
2026-07-19T13:40:06.853116+00:00,2810190.792827,1,1.016113,0.871582,1.059082,79000,79000,6,4915635,1965119,4898204,4898220,4898218,4898205,1600000,1600000,1600000,4910347,4915635,1600000,1963101
