2026-07-19T13:39:48+00:00 START ham-random-perm_int cpu=2 attempt=1
ham-rs perm_int 250/100000 best=0.034476s eval=170 elapsed=5.4s
ham-rs perm_int 500/100000 best=0.041006s eval=331 elapsed=10.8s
ham-rs perm_int 750/100000 best=0.050321s eval=529 elapsed=16.3s
ham-rs perm_int 1000/100000 best=0.050321s eval=529 elapsed=21.7s
ham-rs perm_int 1250/100000 best=0.050321s eval=529 elapsed=27.0s
ham-rs perm_int 1500/100000 best=0.050321s eval=529 elapsed=32.5s
ham-rs perm_int 1750/100000 best=0.050321s eval=529 elapsed=37.5s
ham-rs perm_int 2000/100000 best=0.050321s eval=529 elapsed=43.0s
ham-rs perm_int 2250/100000 best=0.050321s eval=529 elapsed=48.4s
ham-rs perm_int 2500/100000 best=0.050321s eval=529 elapsed=53.9s
ham-rs perm_int 2750/100000 best=0.050321s eval=529 elapsed=59.6s
ham-rs perm_int 3000/100000 best=0.060853s eval=2945 elapsed=65.2s
ham-rs perm_int 3250/100000 best=0.060853s eval=2945 elapsed=71.1s
ham-rs perm_int 3500/100000 best=0.060853s eval=2945 elapsed=76.5s
ham-rs perm_int 3750/100000 best=0.060853s eval=2945 elapsed=81.8s
ham-rs perm_int 4000/100000 best=0.060853s eval=2945 elapsed=87.2s
ham-rs perm_int 4250/100000 best=0.060853s eval=2945 elapsed=92.5s
ham-rs perm_int 4500/100000 best=0.060853s eval=2945 elapsed=98.2s
ham-rs perm_int 4750/100000 best=0.060853s eval=2945 elapsed=103.7s
ham-rs perm_int 5000/100000 best=0.060853s eval=2945 elapsed=109.0s
ham-rs perm_int 5250/100000 best=0.060853s eval=2945 elapsed=114.5s
ham-rs perm_int 5500/100000 best=0.060853s eval=2945 elapsed=119.9s
ham-rs perm_int 5750/100000 best=0.100767s eval=5578 elapsed=125.4s
ham-rs perm_int 6000/100000 best=0.100767s eval=5578 elapsed=130.9s
ham-rs perm_int 6250/100000 best=0.100767s eval=5578 elapsed=136.5s
ham-rs perm_int 6500/100000 best=0.100767s eval=5578 elapsed=141.6s
ham-rs perm_int 6750/100000 best=0.100767s eval=5578 elapsed=147.1s
ham-rs perm_int 7000/100000 best=0.100767s eval=5578 elapsed=152.7s
ham-rs perm_int 7250/100000 best=0.100767s eval=5578 elapsed=158.4s
ham-rs perm_int 7500/100000 best=0.100767s eval=5578 elapsed=163.9s
ham-rs perm_int 7750/100000 best=0.100767s eval=5578 elapsed=169.2s
ham-rs perm_int 8000/100000 best=0.100767s eval=5578 elapsed=174.6s
ham-rs perm_int 8250/100000 best=0.100767s eval=5578 elapsed=180.1s
ham-rs perm_int 8500/100000 best=0.100767s eval=5578 elapsed=185.8s
