2026-07-19T13:39:48+00:00 START ham-random-perm_thr cpu=3 attempt=1
ham-rs perm_thr 250/100000 best=0.038351s eval=53 elapsed=5.2s
ham-rs perm_thr 500/100000 best=0.038351s eval=53 elapsed=10.4s
ham-rs perm_thr 750/100000 best=0.190880s eval=701 elapsed=15.8s
ham-rs perm_thr 1000/100000 best=0.190880s eval=701 elapsed=21.4s
ham-rs perm_thr 1250/100000 best=0.190880s eval=701 elapsed=26.8s
ham-rs perm_thr 1500/100000 best=0.190880s eval=701 elapsed=32.2s
ham-rs perm_thr 1750/100000 best=0.190880s eval=701 elapsed=37.4s
ham-rs perm_thr 2000/100000 best=0.190880s eval=701 elapsed=43.0s
ham-rs perm_thr 2250/100000 best=0.190880s eval=701 elapsed=48.3s
ham-rs perm_thr 2500/100000 best=0.190880s eval=701 elapsed=53.8s
ham-rs perm_thr 2750/100000 best=0.190880s eval=701 elapsed=58.9s
ham-rs perm_thr 3000/100000 best=0.190880s eval=701 elapsed=64.2s
ham-rs perm_thr 3250/100000 best=0.190880s eval=701 elapsed=69.8s
ham-rs perm_thr 3500/100000 best=0.190880s eval=701 elapsed=75.6s
ham-rs perm_thr 3750/100000 best=0.190880s eval=701 elapsed=80.8s
ham-rs perm_thr 4000/100000 best=0.190880s eval=701 elapsed=86.0s
ham-rs perm_thr 4250/100000 best=0.190880s eval=701 elapsed=91.5s
ham-rs perm_thr 4500/100000 best=0.190880s eval=701 elapsed=96.9s
ham-rs perm_thr 4750/100000 best=0.190880s eval=701 elapsed=102.5s
ham-rs perm_thr 5000/100000 best=0.190880s eval=701 elapsed=108.0s
ham-rs perm_thr 5250/100000 best=0.190880s eval=701 elapsed=113.5s
ham-rs perm_thr 5500/100000 best=0.190880s eval=701 elapsed=119.0s
ham-rs perm_thr 5750/100000 best=0.190880s eval=701 elapsed=124.4s
ham-rs perm_thr 6000/100000 best=0.190880s eval=701 elapsed=129.9s
ham-rs perm_thr 6250/100000 best=0.190880s eval=701 elapsed=135.3s
ham-rs perm_thr 6500/100000 best=0.190880s eval=701 elapsed=140.4s
ham-rs perm_thr 6750/100000 best=0.190880s eval=701 elapsed=145.9s
ham-rs perm_thr 7000/100000 best=0.190880s eval=701 elapsed=151.4s
ham-rs perm_thr 7250/100000 best=0.190880s eval=701 elapsed=156.7s
ham-rs perm_thr 7500/100000 best=0.190880s eval=701 elapsed=162.3s
ham-rs perm_thr 7750/100000 best=0.190880s eval=701 elapsed=167.7s
ham-rs perm_thr 8000/100000 best=0.207307s eval=7890 elapsed=173.4s
ham-rs perm_thr 8250/100000 best=0.207307s eval=7890 elapsed=178.9s
ham-rs perm_thr 8500/100000 best=0.207307s eval=7890 elapsed=184.5s
ham-rs perm_thr 8750/100000 best=0.207307s eval=7890 elapsed=190.2s
ham-rs perm_thr 9000/100000 best=0.207307s eval=7890 elapsed=195.6s
ham-rs perm_thr 9250/100000 best=0.207307s eval=7890 elapsed=201.1s
ham-rs perm_thr 9500/100000 best=0.207307s eval=7890 elapsed=206.4s
ham-rs perm_thr 9750/100000 best=0.207307s eval=7890 elapsed=211.9s
ham-rs perm_thr 10000/100000 best=0.207307s eval=7890 elapsed=217.4s
ham-rs perm_thr 10250/100000 best=0.207307s eval=7890 elapsed=223.0s
ham-rs perm_thr 10500/100000 best=0.207307s eval=7890 elapsed=228.4s
ham-rs perm_thr 10750/100000 best=0.207307s eval=7890 elapsed=233.8s
ham-rs perm_thr 11000/100000 best=0.207307s eval=7890 elapsed=239.2s
