2026-07-19T13:39:48+00:00 START ham-random-trivial cpu=1 attempt=1
ham-rs trivial 250/100000 best=0.033503s eval=15 elapsed=6.1s
ham-rs trivial 500/100000 best=0.033539s eval=286 elapsed=12.3s
ham-rs trivial 750/100000 best=0.033539s eval=286 elapsed=18.3s
ham-rs trivial 1000/100000 best=0.033951s eval=822 elapsed=24.5s
ham-rs trivial 1250/100000 best=0.039507s eval=1037 elapsed=30.6s
ham-rs trivial 1500/100000 best=0.063015s eval=1499 elapsed=36.8s
ham-rs trivial 1750/100000 best=0.063015s eval=1499 elapsed=43.1s
ham-rs trivial 2000/100000 best=0.097538s eval=1904 elapsed=49.4s
ham-rs trivial 2250/100000 best=0.097538s eval=1904 elapsed=55.6s
ham-rs trivial 2500/100000 best=0.097538s eval=1904 elapsed=61.8s
ham-rs trivial 2750/100000 best=0.097538s eval=1904 elapsed=68.1s
ham-rs trivial 3000/100000 best=0.097538s eval=1904 elapsed=74.4s
ham-rs trivial 3250/100000 best=0.097538s eval=1904 elapsed=80.6s
ham-rs trivial 3500/100000 best=0.097538s eval=1904 elapsed=86.8s
ham-rs trivial 3750/100000 best=0.097538s eval=1904 elapsed=92.9s
ham-rs trivial 4000/100000 best=0.097538s eval=1904 elapsed=99.1s
ham-rs trivial 4250/100000 best=0.334842s eval=4111 elapsed=105.6s
ham-rs trivial 4500/100000 best=0.334842s eval=4111 elapsed=111.9s
ham-rs trivial 4750/100000 best=0.334842s eval=4111 elapsed=118.0s
ham-rs trivial 5000/100000 best=0.334842s eval=4111 elapsed=124.1s
ham-rs trivial 5250/100000 best=0.334842s eval=4111 elapsed=130.3s
ham-rs trivial 5500/100000 best=0.334842s eval=4111 elapsed=136.6s
ham-rs trivial 5750/100000 best=0.334842s eval=4111 elapsed=142.8s
ham-rs trivial 6000/100000 best=0.334842s eval=4111 elapsed=149.0s
ham-rs trivial 6250/100000 best=0.334842s eval=4111 elapsed=155.2s
ham-rs trivial 6500/100000 best=0.334842s eval=4111 elapsed=161.4s
ham-rs trivial 6750/100000 best=0.334842s eval=4111 elapsed=167.6s
ham-rs trivial 7000/100000 best=0.334842s eval=4111 elapsed=173.9s
ham-rs trivial 7250/100000 best=0.334842s eval=4111 elapsed=180.0s
ham-rs trivial 7500/100000 best=0.334842s eval=4111 elapsed=186.4s
ham-rs trivial 7750/100000 best=0.334842s eval=4111 elapsed=192.6s
ham-rs trivial 8000/100000 best=0.334842s eval=4111 elapsed=198.8s
ham-rs trivial 8250/100000 best=0.334842s eval=4111 elapsed=205.1s
ham-rs trivial 8500/100000 best=0.334842s eval=4111 elapsed=211.2s
ham-rs trivial 8750/100000 best=0.334842s eval=4111 elapsed=217.5s
ham-rs trivial 9000/100000 best=0.334842s eval=4111 elapsed=223.7s
ham-rs trivial 9250/100000 best=0.334842s eval=4111 elapsed=229.9s
ham-rs trivial 9500/100000 best=0.334842s eval=4111 elapsed=236.1s
ham-rs trivial 9750/100000 best=0.334842s eval=4111 elapsed=242.3s
ham-rs trivial 10000/100000 best=0.334842s eval=4111 elapsed=248.5s
ham-rs trivial 10250/100000 best=0.334842s eval=4111 elapsed=254.7s
ham-rs trivial 10500/100000 best=0.334842s eval=4111 elapsed=260.9s
ham-rs trivial 10750/100000 best=0.334842s eval=4111 elapsed=267.2s
ham-rs trivial 11000/100000 best=0.334842s eval=4111 elapsed=273.3s
ham-rs trivial 11250/100000 best=0.334842s eval=4111 elapsed=279.5s
ham-rs trivial 11500/100000 best=0.334842s eval=4111 elapsed=285.7s
ham-rs trivial 11750/100000 best=0.334842s eval=4111 elapsed=291.9s
ham-rs trivial 12000/100000 best=0.334842s eval=4111 elapsed=298.1s
ham-rs trivial 12250/100000 best=0.334842s eval=4111 elapsed=304.4s
ham-rs trivial 12500/100000 best=0.380163s eval=12315 elapsed=310.9s
ham-rs trivial 12750/100000 best=0.380163s eval=12315 elapsed=317.1s
ham-rs trivial 13000/100000 best=0.380163s eval=12315 elapsed=323.4s
ham-rs trivial 13250/100000 best=0.380163s eval=12315 elapsed=329.8s
ham-rs trivial 13500/100000 best=0.380163s eval=12315 elapsed=336.0s
ham-rs trivial 13750/100000 best=0.380163s eval=12315 elapsed=342.1s
ham-rs trivial 14000/100000 best=0.380163s eval=12315 elapsed=348.2s
ham-rs trivial 14250/100000 best=0.380163s eval=12315 elapsed=354.5s
ham-rs trivial 14500/100000 best=0.380163s eval=12315 elapsed=360.7s
ham-rs trivial 14750/100000 best=0.380163s eval=12315 elapsed=366.9s
ham-rs trivial 15000/100000 best=0.380163s eval=12315 elapsed=373.1s
ham-rs trivial 15250/100000 best=0.380163s eval=12315 elapsed=379.3s
ham-rs trivial 15500/100000 best=0.380163s eval=12315 elapsed=385.5s
ham-rs trivial 15750/100000 best=0.380163s eval=12315 elapsed=391.7s
ham-rs trivial 16000/100000 best=0.380163s eval=12315 elapsed=397.9s
ham-rs trivial 16250/100000 best=0.380163s eval=12315 elapsed=404.1s
ham-rs trivial 16500/100000 best=0.380163s eval=12315 elapsed=410.3s
ham-rs trivial 16750/100000 best=0.380163s eval=12315 elapsed=416.5s
ham-rs trivial 17000/100000 best=0.380163s eval=12315 elapsed=422.8s
ham-rs trivial 17250/100000 best=0.380163s eval=12315 elapsed=428.9s
ham-rs trivial 17500/100000 best=0.380163s eval=12315 elapsed=435.1s
ham-rs trivial 17750/100000 best=0.380163s eval=12315 elapsed=441.3s
ham-rs trivial 18000/100000 best=0.380163s eval=12315 elapsed=447.5s
ham-rs trivial 18250/100000 best=0.380163s eval=12315 elapsed=453.7s
ham-rs trivial 18500/100000 best=0.380163s eval=12315 elapsed=459.9s
ham-rs trivial 18750/100000 best=0.380163s eval=12315 elapsed=466.1s
ham-rs trivial 19000/100000 best=0.380163s eval=12315 elapsed=472.4s
ham-rs trivial 19250/100000 best=0.380163s eval=12315 elapsed=478.7s
ham-rs trivial 19500/100000 best=0.380163s eval=12315 elapsed=484.9s
ham-rs trivial 19750/100000 best=0.380163s eval=12315 elapsed=491.1s
ham-rs trivial 20000/100000 best=0.380163s eval=12315 elapsed=497.4s
ham-rs trivial 20250/100000 best=0.380163s eval=12315 elapsed=503.7s
ham-rs trivial 20500/100000 best=0.380163s eval=12315 elapsed=510.0s
ham-rs trivial 20750/100000 best=0.380163s eval=12315 elapsed=516.1s
ham-rs trivial 21000/100000 best=0.380163s eval=12315 elapsed=522.4s
ham-rs trivial 21250/100000 best=0.380163s eval=12315 elapsed=528.5s
ham-rs trivial 21500/100000 best=0.380163s eval=12315 elapsed=534.7s
ham-rs trivial 21750/100000 best=0.380163s eval=12315 elapsed=540.9s
ham-rs trivial 22000/100000 best=0.380163s eval=12315 elapsed=547.1s
ham-rs trivial 22250/100000 best=0.380163s eval=12315 elapsed=553.3s
ham-rs trivial 22500/100000 best=0.380163s eval=12315 elapsed=559.5s
ham-rs trivial 22750/100000 best=0.380163s eval=12315 elapsed=566.0s
ham-rs trivial 23000/100000 best=0.380163s eval=12315 elapsed=572.2s
ham-rs trivial 23250/100000 best=0.380163s eval=12315 elapsed=578.4s
ham-rs trivial 23500/100000 best=0.380163s eval=12315 elapsed=584.7s
ham-rs trivial 23750/100000 best=0.380163s eval=12315 elapsed=590.8s
ham-rs trivial 24000/100000 best=0.380163s eval=12315 elapsed=597.1s
ham-rs trivial 24250/100000 best=0.380163s eval=12315 elapsed=603.2s
ham-rs trivial 24500/100000 best=0.380163s eval=12315 elapsed=609.4s
ham-rs trivial 24750/100000 best=0.380163s eval=12315 elapsed=615.7s
ham-rs trivial 25000/100000 best=0.380163s eval=12315 elapsed=622.0s
ham-rs trivial 25250/100000 best=0.380163s eval=12315 elapsed=628.4s
ham-rs trivial 25500/100000 best=0.380163s eval=12315 elapsed=634.6s
ham-rs trivial 25750/100000 best=0.380163s eval=12315 elapsed=640.9s
ham-rs trivial 26000/100000 best=0.380163s eval=12315 elapsed=647.1s
ham-rs trivial 26250/100000 best=0.380163s eval=12315 elapsed=653.3s
ham-rs trivial 26500/100000 best=0.380163s eval=12315 elapsed=659.5s
ham-rs trivial 26750/100000 best=0.380163s eval=12315 elapsed=665.7s
ham-rs trivial 27000/100000 best=0.380163s eval=12315 elapsed=671.9s
ham-rs trivial 27250/100000 best=0.380163s eval=12315 elapsed=678.2s
ham-rs trivial 27500/100000 best=0.380163s eval=12315 elapsed=684.4s
ham-rs trivial 27750/100000 best=0.380163s eval=12315 elapsed=690.6s
ham-rs trivial 28000/100000 best=0.380163s eval=12315 elapsed=696.8s
ham-rs trivial 28250/100000 best=0.380163s eval=12315 elapsed=703.0s
ham-rs trivial 28500/100000 best=0.380163s eval=12315 elapsed=709.2s
ham-rs trivial 28750/100000 best=0.380163s eval=12315 elapsed=715.4s
ham-rs trivial 29000/100000 best=0.380163s eval=12315 elapsed=721.5s
ham-rs trivial 29250/100000 best=0.380163s eval=12315 elapsed=727.6s
ham-rs trivial 29500/100000 best=0.380163s eval=12315 elapsed=733.8s
ham-rs trivial 29750/100000 best=0.380163s eval=12315 elapsed=740.1s
ham-rs trivial 30000/100000 best=0.380163s eval=12315 elapsed=746.3s
ham-rs trivial 30250/100000 best=0.380163s eval=12315 elapsed=752.6s
ham-rs trivial 30500/100000 best=0.380163s eval=12315 elapsed=759.0s
ham-rs trivial 30750/100000 best=0.380163s eval=12315 elapsed=765.4s
ham-rs trivial 31000/100000 best=0.380163s eval=12315 elapsed=771.7s
ham-rs trivial 31250/100000 best=0.380163s eval=12315 elapsed=778.0s
ham-rs trivial 31500/100000 best=0.380163s eval=12315 elapsed=784.4s
ham-rs trivial 31750/100000 best=0.380163s eval=12315 elapsed=790.8s
ham-rs trivial 32000/100000 best=0.380163s eval=12315 elapsed=797.0s
ham-rs trivial 32250/100000 best=0.380163s eval=12315 elapsed=803.3s
ham-rs trivial 32500/100000 best=0.380163s eval=12315 elapsed=809.6s
ham-rs trivial 32750/100000 best=0.380163s eval=12315 elapsed=816.0s
ham-rs trivial 33000/100000 best=0.380163s eval=12315 elapsed=822.3s
ham-rs trivial 33250/100000 best=0.380163s eval=12315 elapsed=828.6s
ham-rs trivial 33500/100000 best=0.380163s eval=12315 elapsed=834.9s
ham-rs trivial 33750/100000 best=0.380163s eval=12315 elapsed=841.2s
ham-rs trivial 34000/100000 best=0.380163s eval=12315 elapsed=847.5s
ham-rs trivial 34250/100000 best=0.380163s eval=12315 elapsed=853.8s
ham-rs trivial 34500/100000 best=0.380163s eval=12315 elapsed=860.1s
