2026-07-18T20:00:37+00:00 original3_mprefix supervisor launch attempt 1
original3_mprefix: 100/100000 best=0.095123s at eval 31 elapsed=16.0s
original3_mprefix: 200/100000 best=0.166659s at eval 117 elapsed=35.7s
original3_mprefix: 300/100000 best=0.166659s at eval 117 elapsed=49.9s
original3_mprefix: 400/100000 best=0.166659s at eval 117 elapsed=66.0s
original3_mprefix: 500/100000 best=0.166659s at eval 117 elapsed=80.2s
original3_mprefix: 600/100000 best=0.166659s at eval 117 elapsed=91.9s
original3_mprefix: 700/100000 best=0.166659s at eval 117 elapsed=102.1s
original3_mprefix: 800/100000 best=0.166659s at eval 117 elapsed=115.1s
original3_mprefix: 900/100000 best=0.166659s at eval 117 elapsed=127.6s
original3_mprefix: 1000/100000 best=0.166659s at eval 117 elapsed=139.4s
original3_mprefix: 1100/100000 best=0.249507s at eval 1050 elapsed=162.7s
original3_mprefix: 1200/100000 best=0.249507s at eval 1050 elapsed=176.4s
original3_mprefix: 1300/100000 best=0.249507s at eval 1050 elapsed=193.7s
original3_mprefix: 1400/100000 best=0.249507s at eval 1050 elapsed=205.2s
original3_mprefix: 1500/100000 best=0.249507s at eval 1050 elapsed=213.3s
original3_mprefix: 1600/100000 best=0.249507s at eval 1050 elapsed=226.2s
original3_mprefix: 1700/100000 best=0.249507s at eval 1050 elapsed=244.8s
original3_mprefix: 1800/100000 best=0.249507s at eval 1050 elapsed=260.1s
original3_mprefix: 1900/100000 best=0.249507s at eval 1050 elapsed=270.3s
original3_mprefix: 2000/100000 best=0.249507s at eval 1050 elapsed=284.1s
original3_mprefix: 2100/100000 best=0.249507s at eval 1050 elapsed=297.1s
original3_mprefix: 2200/100000 best=0.249507s at eval 1050 elapsed=305.3s
original3_mprefix: 2300/100000 best=0.249507s at eval 1050 elapsed=319.7s
original3_mprefix: 2400/100000 best=0.249507s at eval 1050 elapsed=333.5s
original3_mprefix: 2500/100000 best=0.249507s at eval 1050 elapsed=341.8s
original3_mprefix: 2600/100000 best=0.249507s at eval 1050 elapsed=354.5s
original3_mprefix: 2700/100000 best=0.249507s at eval 1050 elapsed=368.3s
original3_mprefix: 2800/100000 best=0.249507s at eval 1050 elapsed=389.7s
original3_mprefix: 2900/100000 best=0.249507s at eval 1050 elapsed=401.4s
original3_mprefix: 3000/100000 best=0.249507s at eval 1050 elapsed=413.3s
original3_mprefix: 3100/100000 best=0.249507s at eval 1050 elapsed=425.9s
original3_mprefix: 3200/100000 best=0.249507s at eval 1050 elapsed=438.5s
original3_mprefix: 3300/100000 best=0.249507s at eval 1050 elapsed=451.7s
original3_mprefix: 3400/100000 best=0.249507s at eval 1050 elapsed=466.0s
original3_mprefix: 3500/100000 best=0.249507s at eval 1050 elapsed=481.8s
original3_mprefix: 3600/100000 best=0.249507s at eval 1050 elapsed=495.7s
original3_mprefix: 3700/100000 best=0.249507s at eval 1050 elapsed=504.1s
original3_mprefix: 3800/100000 best=0.249507s at eval 1050 elapsed=520.5s
original3_mprefix: 3900/100000 best=0.249507s at eval 1050 elapsed=527.4s
original3_mprefix: 4000/100000 best=0.249507s at eval 1050 elapsed=544.6s
original3_mprefix: 4100/100000 best=0.249507s at eval 1050 elapsed=563.2s
original3_mprefix: 4200/100000 best=0.249507s at eval 1050 elapsed=572.2s
original3_mprefix: 4300/100000 best=0.249507s at eval 1050 elapsed=584.5s
original3_mprefix: 4400/100000 best=0.249507s at eval 1050 elapsed=595.3s
original3_mprefix: 4500/100000 best=0.249507s at eval 1050 elapsed=606.8s
original3_mprefix: 4600/100000 best=0.249507s at eval 1050 elapsed=623.6s
original3_mprefix: 4700/100000 best=0.249507s at eval 1050 elapsed=638.8s
original3_mprefix: 4800/100000 best=0.249507s at eval 1050 elapsed=651.7s
original3_mprefix: 4900/100000 best=0.249507s at eval 1050 elapsed=660.5s
original3_mprefix: 5000/100000 best=0.249507s at eval 1050 elapsed=671.0s
original3_mprefix: 5100/100000 best=0.249507s at eval 1050 elapsed=694.5s
original3_mprefix: 5200/100000 best=0.249507s at eval 1050 elapsed=708.2s
original3_mprefix: 5300/100000 best=0.249507s at eval 1050 elapsed=718.2s
original3_mprefix: 5400/100000 best=0.249507s at eval 1050 elapsed=729.2s
original3_mprefix: 5500/100000 best=0.249507s at eval 1050 elapsed=739.7s
original3_mprefix: 5600/100000 best=0.249507s at eval 1050 elapsed=753.9s
original3_mprefix: 5700/100000 best=0.249507s at eval 1050 elapsed=766.3s
original3_mprefix: 5800/100000 best=0.249507s at eval 1050 elapsed=776.8s
original3_mprefix: 5900/100000 best=0.249507s at eval 1050 elapsed=789.5s
original3_mprefix: 6000/100000 best=0.249507s at eval 1050 elapsed=799.0s
original3_mprefix: 6100/100000 best=0.249507s at eval 1050 elapsed=814.4s
original3_mprefix: 6200/100000 best=0.249507s at eval 1050 elapsed=824.3s
original3_mprefix: 6300/100000 best=0.249507s at eval 1050 elapsed=841.0s
original3_mprefix: 6400/100000 best=0.249507s at eval 1050 elapsed=849.4s
original3_mprefix: 6500/100000 best=0.249507s at eval 1050 elapsed=862.4s
original3_mprefix: 6600/100000 best=0.249507s at eval 1050 elapsed=872.4s
original3_mprefix: 6700/100000 best=0.249507s at eval 1050 elapsed=889.9s
original3_mprefix: 6800/100000 best=0.249507s at eval 1050 elapsed=901.4s
original3_mprefix: 6900/100000 best=0.249507s at eval 1050 elapsed=915.2s
original3_mprefix: 7000/100000 best=0.249507s at eval 1050 elapsed=923.5s
original3_mprefix: 7100/100000 best=0.249507s at eval 1050 elapsed=943.6s
original3_mprefix: 7200/100000 best=0.249507s at eval 1050 elapsed=950.6s
original3_mprefix: 7300/100000 best=0.249507s at eval 1050 elapsed=962.6s
original3_mprefix: 7400/100000 best=0.249507s at eval 1050 elapsed=974.7s
original3_mprefix: 7500/100000 best=0.249507s at eval 1050 elapsed=981.1s
original3_mprefix: 7600/100000 best=0.249507s at eval 1050 elapsed=996.3s
original3_mprefix: 7700/100000 best=0.249507s at eval 1050 elapsed=1005.0s
original3_mprefix: 7800/100000 best=0.249507s at eval 1050 elapsed=1018.3s
original3_mprefix: 7900/100000 best=0.249507s at eval 1050 elapsed=1035.7s
original3_mprefix: 8000/100000 best=0.249507s at eval 1050 elapsed=1050.7s
original3_mprefix: 8100/100000 best=0.249507s at eval 1050 elapsed=1059.9s
original3_mprefix: 8200/100000 best=0.249507s at eval 1050 elapsed=1078.5s
original3_mprefix: 8300/100000 best=0.249507s at eval 1050 elapsed=1096.1s
original3_mprefix: 8400/100000 best=0.249507s at eval 1050 elapsed=1119.2s
