2026-07-18T20:31:43+00:00 tsp supervisor launch attempt 1
tsp control_matrix_best_find train seed=1 rep=0: SOLVED 0.298351s
tsp control_matrix_best_find train seed=1 rep=1: SOLVED 0.293509s
tsp control_matrix_best_find train seed=1 rep=2: SOLVED 0.298393s
tsp control_matrix_best_find train seed=2 rep=0: SOLVED 1.661932s
tsp control_matrix_best_find train seed=2 rep=1: SOLVED 1.663241s
tsp control_matrix_best_find train seed=2 rep=2: SOLVED 1.666679s
tsp control_matrix_best_find train seed=3 rep=0: SOLVED 1.308460s
tsp control_matrix_best_find train seed=3 rep=1: SOLVED 1.313347s
tsp control_matrix_best_find train seed=3 rep=2: SOLVED 1.317074s
tsp control_matrix_best_find train seed=4 rep=0: SOLVED 0.109117s
tsp control_matrix_best_find train seed=4 rep=1: SOLVED 0.108403s
tsp control_matrix_best_find train seed=4 rep=2: SOLVED 0.108703s
tsp control_matrix_best_find train seed=5 rep=0: SOLVED 0.888471s
tsp control_matrix_best_find train seed=5 rep=1: SOLVED 0.887602s
tsp control_matrix_best_find train seed=5 rep=2: SOLVED 0.888247s
tsp control_matrix_best_find train seed=6 rep=0: SOLVED 1.575276s
tsp control_matrix_best_find train seed=6 rep=1: SOLVED 1.606849s
tsp control_matrix_best_find train seed=6 rep=2: SOLVED 1.583833s
tsp control_matrix_best_find train seed=7 rep=0: SOLVED 1.389754s
tsp control_matrix_best_find train seed=7 rep=1: SOLVED 1.384836s
tsp control_matrix_best_find train seed=7 rep=2: SOLVED 1.384490s
tsp control_matrix_best_find heldout seed=8 rep=0: SOLVED 1.568642s
tsp control_matrix_best_find heldout seed=9 rep=0: SOLVED 0.252269s
tsp control_matrix_best_find heldout seed=10 rep=0: SOLVED 0.248814s
tsp control_matrix_best_find heldout seed=11 rep=0: SOLVED 0.149435s
tsp control_matrix_best_find heldout seed=12 rep=0: SOLVED 0.109272s
tsp control_matrix_best_find heldout seed=13 rep=0: SOLVED 0.778090s
tsp control_matrix_best_find heldout seed=14 rep=0: SOLVED 1.322119s
tsp control_matrix_best_find heldout seed=15 rep=0: SOLVED 1.572273s
tsp control_matrix_best_find heldout seed=16 rep=0: SOLVED 0.736015s
tsp control_matrix_best_find heldout seed=17 rep=0: SOLVED 0.111728s
tsp control_matrix_best_find heldout seed=18 rep=0: SOLVED 1.589877s
tsp control_matrix_best_find heldout seed=19 rep=0: SOLVED 1.429116s
tsp control_matrix_best_find heldout seed=20 rep=0: SOLVED 0.890410s
tsp control_matrix_best_find heldout seed=21 rep=0: SOLVED 0.933707s
tsp control_matrix_best_find heldout seed=22 rep=0: SOLVED 0.248359s
tsp control_matrix_best_find heldout seed=23 rep=0: SOLVED 0.261622s
tsp control_matrix_best_find heldout seed=24 rep=0: SOLVED 0.251314s
tsp control_matrix_best_find heldout seed=25 rep=0: SOLVED 0.898843s
tsp control_matrix_best_find heldout seed=26 rep=0: SOLVED 1.637663s
tsp control_matrix_best_find heldout seed=27 rep=0: SOLVED 0.723412s
tsp control_matrix_best_find heldout seed=28 rep=0: SOLVED 0.288038s
tsp control_matrix_best_find heldout seed=29 rep=0: SOLVED 0.062082s
tsp control_matrix_best_find heldout seed=30 rep=0: SOLVED 1.659308s
tsp control_matrix_best_heldout train seed=1 rep=0: SOLVED 1.124992s
tsp control_matrix_best_heldout train seed=1 rep=1: SOLVED 1.122506s
tsp control_matrix_best_heldout train seed=1 rep=2: SOLVED 1.120381s
tsp control_matrix_best_heldout train seed=2 rep=0: SOLVED 0.881333s
